ProductId,ProductName,PriceTableName,ListPrice,SalePrice,DESCR_TIPO_FAST,CODPROD,VLRUNIT
1298,PSD530/1 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3412,3412,Distribuição,1298,34.12
1299,PSD960/1 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5827,5827,Distribuição,1299,58.27
1300,PSD964 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2458,2458,Distribuição,1300,24.58
1301,PSD970/1 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5531,5531,Distribuição,1301,55.31
1302,PSH112 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),8946,8946,Distribuição,1302,89.46
1303,PSH486 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3655,3655,Distribuição,1303,36.55
1304,PSL123 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1910,1910,Distribuição,1304,19.1
1305,PSL156 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),5260,5260,Distribuição,1305,52.6
1306,PSL280 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3035,3035,Distribuição,1306,30.35
1307,PSL282 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1946,1946,Distribuição,1307,19.46
1308,PSL283 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4811,4811,Distribuição,1308,48.11
1309,PSL300 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),10005,10005,Distribuição,1309,100.05
1310,PSL301 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3496,3496,Distribuição,1310,34.96
1313,PSL417 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4267,4267,Distribuição,1313,42.67
1314,PSL 47 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1643,1643,Distribuição,1314,16.43
1315,PSL562 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1198,1198,Distribuição,1315,11.98
1316,PSL619 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),914,914,Distribuição,1316,9.14
1317,PSL900 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2317,2317,Distribuição,1317,23.17
1318,PSL902 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2008,2008,Distribuição,1318,20.08
1319,PSL962 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2853,2853,Distribuição,1319,28.53
1396,ACP205 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1044,1044,Distribuição,1396,10.44
1397,ACP300 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1266,1266,Distribuição,1397,12.66
1398,ACP303 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1146,1146,Distribuição,1398,11.46
1399,ACP309 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2578,2578,Distribuição,1399,25.78
1400,ACP481 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2304,2304,Distribuição,1400,23.04
1401,ACP709 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1201,1201,Distribuição,1401,12.01
1402,ACP843 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2112,2112,Distribuição,1402,21.12
1403,ACP887 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1011,1011,Distribuição,1403,10.11
1404,ACP900 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1518,1518,Distribuição,1404,15.18
